번호,서명,저자,발행자,발행년,청구기호,자료실
1824,백만 유튜버 구드래곤,예영 엮음,아이세움,2024,아동 219.23-1,[해운대인문학]어린이자료실
1825,"백앤아. 6, 저주 걸린 장난감 가게",정은경 지음 ; 김완진 그림,상상아카데미,2024,아동 404-275-2,[해운대인문학]어린이자료실
1826,"변비 탐정 실룩. 3, 꿀랜드에 숨은 늑대",윤성은 지음 ; 보람 그림,창비,2024,아동 813.8-3823=2,[해운대인문학]어린이자료실
1827,"별의 커비 푸푸푸 히어로. 4, 수수께끼의 배와 마버로아!",고수산나 지음 ; 이갑규 그림,풀빛,2024,아동 911-242-[6],[해운대인문학]어린이자료실
1828,(빅티처 김경일의)마음 실험실,신현이 지음 ; 정주희 그림,문학과지성사,2024,아동 808.3-10-180,[해운대인문학]어린이자료실
1829,"(고정욱 선생님이 들려주는) 빛나는 말, 힘 나는 말",집사TV 원작 ; 김지균 지음 ; 권수영 그림,서울문화사,2024,아동 813.8-3610-4=2,[해운대인문학]어린이자료실
1830,사랑은 초록,집사TV 원작 ; 김지균 지음 ; 권수영 그림,서울문화사,2024,아동 813.8-3610-5=2,[해운대인문학]어린이자료실
1831,"설민석의 삼국지 대모험. 17, 제갈공명의 등장",김정미 외 지음 ; 남수현 그림,작은코도마뱀,2024,아동 813.8-3847,[해운대인문학]어린이자료실
1832,"설민석의 우리 고전 대모험. 2, 흥부전",유혜진 지음 ; 류미선 그림,책읽는달,2024,아동 813.8-1924-5,[해운대인문학]어린이자료실
1833,"설민석의 한국사 대모험. 29, 강감찬 편, 귀주 대첩",최재희 지음 ; 미소노 그림,휴먼어린이,2024,아동 980-45-1,[해운대인문학]어린이자료실
1834,"(설민석의) 한국사 대모험 퀴즈쇼. 3, 결선 편",최재희 지음 ; 시은경 그림,휴먼어린이,2024,아동 980-45-2,[해운대인문학]어린이자료실
1835,"설전도 수련관. 4장, 나를 존중하고 사랑하는 말하기",산제이 마노하 지음 ; 게리 볼러 그림 ; 김선영 옮김,푸른숲주니어,2024,아동 511.1813-3-2,[해운대인문학]어린이자료실
